number,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
170279342,"Crest Pro-Health Smooth Formula Toothpaste, Clean Mint Paste, 4.6 oz, Pack of 2",$4.99,36,14,3,1,0,0
670751520,"(2 pack) Crest Complete Whitening plus Scope Multi-Benefit Fluoride Liquid Gel Toothpaste, Minty Fresh, 4.6 Ounce",$4.94 - $7.41,36,145,32,7,5,14
653888327,"Rembrandt Intense Stain Whitening Toothpaste, Mint Flavor, 3.52-Ounce (2 Pack)",$11.89,36,28,4,1,0,1
26812577,"Biotene Fresh Mint Original Fluoride Toothpaste, 4.3 ounce",$6.33,262,49,10,7,3,5
589798006,"Colgate Total Toothpaste, Deep Clean, 5.1 oz. 2-pack - Paste",$6.96,36,193,73,20,8,40
207215864,"(Pack of 3) Crest Kid's Cavity Protection Toothpaste (children and toddlers 2+), Sparkle Fun Flavor, 4.6 ounces",$4.92,109,20,3,0,0,2
289197571,"Sensodyne Repair & Protect Whitening Sensitivity Toothpaste for Sensitive Teeth, 3.4 ounces Twinpack",$10.24,36,29,3,1,1,4
337777889,"Colgate Optic White Whitening Toothpaste, Sparkling White - 5 ounce (3 pack)",$10.96,31,16,3,2,0,0
10311747,Colgate Max Fresh Liquid Gel 2-in-1 Toothpaste and Mouthwash - 4.6 Ounce,$2.82 - $8.46,53,26,4,0,0,0
10316811,"Sensodyne Fresh Mint Sensitivity Toothpaste for Sensitive Teeth and Fresh Breath, 4 Ounce",$5.92,36,67,16,2,0,1
971287851,"Crest 3D White, Whitening Toothpaste Radiant Mint, 3.0 oz",$2.97,262,3,0,0,0,1
28442763,"Sensodyne Sensitivity Toothpaste for Sensitive Teeth, Fresh Mint, 4 ounce (Pack of 2)",$10.24,36,44,8,3,3,0
599561143,"Colgate Total Toothpaste, Clean Mint, 4.8 oz. 2-pack - Paste",$4.96,36,217,69,18,9,177
361263130,"Crest Pro-Health Advanced Gum Protection Toothpaste, 5.1 oz, Pack of 2",$3.92 - $6.97,206,94,26,15,5,11
958200779,"Crest 3D White, Charcoal Whitening Toothpaste, 4.1 oz",$3.97,471,44,9,2,0,2
632875553,"Hello Activated Charcoal Fluoride Whitening Toothpaste, With Fresh Mint and Coconut Oil, Vegan & SLS Free, 4oz",$4.82,262,90,9,3,2,4
828180888,Colgate Optic White Platinum Express White Whitening Toothpaste - 3 ounce (3 pack),$34.28,1,235,104,38,16,15
313948787,"Crest 3D White, Whitening Toothpaste Radiant Mint, 4.1 oz, Pack of 3",$9.97,36,185,34,15,6,12
16940390,"Aquafresh Extreme Clean Mint Blast Fluoride Toothpaste Twin Pack, 5.6 oz, 2 pack",$4.87 - $8.99,36,78,8,0,0,1
888936473,"Aquafresh Extra Fresh Plus Whitening Fluoride Toothpaste for Cavity Protection, 5.6 ounce (3 pack)",$2.50,36,19,6,0,0,1
10294069,"Listerine Essential Care Original Gel Fluoride Toothpaste, 4.2 oz",$7.57,262,180,31,3,2,4
696892178,"Sensodyne Rapid Relief Toothpaste for Sensitive Teeth, Mint, 3.4 Ounce",$5.72 - $10.98,262,48,11,1,1,2
124810189,"Sensodyne Sensitivity Toothpaste for Sensitive Teeth, Deep Clean, 4 ounce",$5.72,36,530,391,184,30,9
47826717,"Tom's of Maine Rapid Relief Sensitive Fluoride-Free Toothpaste, Fresh Mint, 4.0 oz",$4.83,36,48,15,5,8,11
314214598,"Sensodyne Pronamel Intensive Enamel Repair Clean Mint Toothpaste for Enamel Strengthening, 3.4 ounces",$5.72,36,14,5,3,0,0
532178213,"Sensodyne Rapid Relief Toothpaste for Sensitive Teeth, Extra Fresh, 3.4 Ounce",$5.92 - $10.98,36,30,7,3,1,2
569156416,"(2 pack) Crest Complete Whitening + Cinnamon Expressions Liquid Gel Toothpaste, Cinnamon Rush, 4.6 ounce",$2.47 - $7.41,206,99,6,4,0,1
143048753,"ARM & HAMMER PeroxiCare Toothpaste, Twin Pack (two 6.0 oz. tubes)",$5.44,1,69,10,7,2,16
20850557,"Arm & Hammer Sensitive Teeth & Gums Toothpaste, 4.5 oz",$3.12,36,141,41,3,2,9
34458819,"Sensodyne Pronamel Multi-Action Toothpaste Cleansing Mint, 4 Ounce",$5.92,36,103,25,9,1,3
32176877,"Colgate Sensitive Toothpaste, Whitening - Fresh Mint Gel Formula (6 ounce, Pack of 2)",$8.96,36,57,7,1,1,1
10311745,"Colgate 2-in-1 Kids Toothpaste & Anticavity Mouthwash, Watermelon Burst, 4.6 ounces",$3.66 - $7.03,206,18,6,0,1,1
182527465,"Crest + Scope Outlast Complete Whitening Toothpaste, Mint, 5.4 oz",$2.58,262,42,5,2,0,1
191694930,"Crest Pro-Health Smooth Formula Toothpaste, Clean Mint Paste, 4.6 oz",$2.97,262,76,29,17,15,17
10312275,"Colgate Sensitive Toothpaste, Whitening - Fresh Mint Gel Formula (6 ounce, Pack of 1)",$4.48,36,96,22,7,0,1
3392,"Sensodyne Sensitivity Toothpaste, Extra Whitening for Sensitive Teeth, 4 ounce",$5.72,36,49,16,3,1,2
10291028,"Arm & Hammer Complete Care Toothpaste, 6 oz.",$3.12 - $6.24,262,168,48,9,8,9
17341348,"Crest 3D White Whitening Toothpaste, Radiant Mint, .85 oz",$0.97,262,305,73,34,11,19
10316813,"Sensodyne Sensitivity Toothpaste, Whitening for Sensitive Teeth, 24/7 Full Protection, 4 ounce",$5.72,36,52,16,1,0,1
361895155,"Colgate Total Whitening Toothpaste, 4.8 oz.",$2.96,262,223,81,22,10,124
786345153,"Parodontax Bleeding Gums Toothpaste, Clean Mint, 3.4 Ounce (Pack of 3)",$5.92 - $39.62,36,37,7,3,2,2
49527315,"Hello Kids Fluoride Free Toothpaste, Vegan & SLS Free, Natural Watermelon, 4.2oz",$3.96,38,603,107,33,11,16
35764259,"Colgate Optic White Whitening Toothpaste, Sparkling White, 3.5 ounce",$4.01,434,38,14,4,1,1
34967577,"Crest 3D White Brilliance Advanced Whitening Technology + Advanced Stain Protection Toothpaste, Vibrant Peppermint, 4.1 oz",$6.97,471,248,145,41,12,5
775787730,"Crest 3D White, Whitening Toothpaste Arctic Fresh, 3.0 oz",$2.97,471,15,4,1,0,1
37840515,"Crest 3D White Brilliance Vibrant Peppermint Toothpaste, 4.1 oz, Pack of 2",$9.88,471,109,20,6,6,2
12167268,"Sensodyne Pronamel Gentle Whitening Fluoride Toothpaste to Strengthen and Protect Enamel, 4 ounces",$5.72,36,100,32,6,1,0
196878437,"Crest Pro-Health Advanced Deep Clean Mint Toothpaste, 5.1 oz",$3.92,262,196,79,54,24,38
49081563,"Colgate Kids Toothpaste Cavity Protection, Bubble Fruit, 4.6 ounces (2 Pack)",$2.94,206,9,4,0,0,0
49714962,"Colgate Cavity Protection Toothpaste with Fluoride, Great Regular Flavor - 2.5 Ounce",$0.94,206,6,4,0,0,0
205099626,"Crest 3D White, Whitening Toothpaste Radiant Mint, 4.1 oz",$3.92,262,185,34,15,6,12
130236716,"Crest Pro-Health Whitening Gel Toothpaste, 4.6 oz",$2.97,262,83,33,11,11,15
35764261,"Colgate Optic White Whitening Toothpaste, Enamel - 3.5 oz",$7.01,4614,44,15,4,1,3
10311746,"Colgate Max Fresh Toothpaste with Mini Breath Strips, Cool Mint - 6 Ounce",$2.34,262,57,11,1,1,4
665193833,"(2 pack) Orajel Nickelodeon Paw Patrol Fruity Fun Training Toothpaste 3 Months to 4 Years, 1.5 oz",$5.53 - $16.73,36,87,11,3,1,2
178707036,"Crest Kid's Cavity Protection Toothpaste (children and toddlers 2+), Sparkle Fun Flavor, 4.6 ounces, Pack of 2",$4.58,6,253,49,29,5,8
