,product_number,product,product_link
13,556738487,"ARM & HAMMER Peroxicare Toothpaste, TWIN PACK (Contains Two 6oz Tubes) – Clean Mint- Fluoride Toothpaste",https://www.walmart.com/ip/ARM-HAMMER-Peroxicare-Toothpaste-TWIN-PACK-Contains-Two-6oz-Tubes-Clean-Mint-Fluoride-Toothpaste/143048753
14,571836050,"Crest Pro Health Whitening Power Toothpaste, 4.6 oz, 3 Pack",https://www.walmart.com/ip/Crest-Pro-Health-Whitening-Power-Toothpaste-4-6-oz-3-Pack/744678379
15,568294816,"Crest Pro Health Advanced Deep Clean Toothpaste, Mint, 5.1 oz, 3 Pack",https://www.walmart.com/ip/Crest-Pro-Health-Advanced-Deep-Clean-Toothpaste-Mint-5-1-oz-3-Pack/845641496
16,791482107,"(2 pack) Equate Maximum Strength Sensitive Extra Whitening Toothpaste with Fluoride, 4 oz",https://www.walmart.com/ip/2-pack-Equate-Maximum-Strength-Sensitive-Extra-Whitening-Toothpaste-with-Fluoride-4-oz/791482107
17,572752835,"Colgate Total Whitening Toothpaste with Fluoride, Multi Benefit Toothpaste with Sensitivity Relief, 4.8 Oz, 3 Ct",https://www.walmart.com/ip/Colgate-Total-Whitening-Toothpaste-with-Fluoride-Multi-Benefit-Toothpaste-with-Sensitivity-Relief-4-8-Oz-3-Ct/784892394
18,552604316,"Sensodyne Pronamel Fresh Breath Enamel Toothpaste for Sensitive Teeth, Fresh Wave - 4 Ounces (Pack of 2)",https://www.walmart.com/ip/Sensodyne-Pronamel-Fresh-Breath-Enamel-Toothpaste-for-Sensitive-Teeth-Fresh-Wave-4-Ounces-Pack-of-2/38773089
19,578555767,"Crest Pro Health Sensitive, Enamel Shield Toothpaste, 4.6 oz, 2 Pack",https://www.walmart.com/ip/Crest-Pro-Health-Sensitive-Enamel-Shield-Toothpaste-4-6-oz-2-Pack/107637420
20,287893,"Sensodyne Pronamel Daily Protection Enamel Toothpaste for Sensitive Teeth, Mint Essence - 4 Ounces",https://www.walmart.com/ip/Sensodyne-Pronamel-Daily-Protection-Enamel-Toothpaste-for-Sensitive-Teeth-Mint-Essence-4-Ounces/10316819?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:K3VVFDczzR0q5scSQ0_KwIH7HcRqZ092pjVwsj8m2TIeuWPUz0h2CuZcv6qa90HAgQSJ6odAn4kKNkJmVifRINwo8tOXakuB3JDHuefoAeZ_vr9XgPrhzuaUbfRkqZ1fQpXDDpoD0u9xh95taBA1RGvg7AUzOxl72w2E0GYFzq35fb76ANRQOQxm3spYiFE4GESbrtWMn5Q8VDgesLYA-tcNenMrrFsqCzN6q4JJ2dNGBdN3StCOLFkFJAn0odVq&wpa_tag=&wpa_aux_info=&wpa_pos=31&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=8ca39408-1e99-458c-84fe-64250d66d165&wpa_pg=search&wpa_pg_id=toothpaste&wpa_st=toothpaste&wpa_tax=1085632_9267270_7332448_8262175&wpa_bucket=__bkt__
21,577475058,"Sensodyne Sensitivity & Gum Mint Toothpaste, , Gingivitis, Cavity Prevention and Sensitive Teeth Treatment 3.4 Ounces",https://www.walmart.com/ip/Sensodyne-Sensitivity-Gum-Mint-Toothpaste-Gingivitis-Cavity-Prevention-and-Sensitive-Teeth-Treatment-3-4-Ounces/192688117
22,578430662,"Colgate Optic White Renewal Whitening Toothpaste, Enamel Strength, 3 oz",https://www.walmart.com/ip/Colgate-Optic-White-Renewal-Whitening-Toothpaste-Enamel-Strength-3-oz/377394868
23,564454554,"Tom's Antiplaque & Whitening Fluoride-Free Peppermint Toothpaste, 5.5oz, 2 Pack",https://www.walmart.com/ip/Tom-s-Antiplaque-Whitening-Fluoride-Free-Peppermint-Toothpaste-5-5oz-2-Pack/47826722
24,556379693,Parodontax Teeth Whitening Toothpaste for Bleeding Gums - 3.4 Ounces,https://www.walmart.com/ip/Parodontax-Teeth-Whitening-Toothpaste-for-Bleeding-Gums-3-4-Ounces/143583812
25,578192212,"Colgate Optic White Advanced Teeth Whitening Toothpaste, Icy Fresh, 3.2 Oz, 2 Ct",https://www.walmart.com/ip/Colgate-Optic-White-Advanced-Teeth-Whitening-Toothpaste-Icy-Fresh-3-2-Oz-2-Ct/783389026
