,product_number,product name,product link
22,569749765,"Sensodyne Complete Protection Sensitivity Toothpaste for Sensitive Teeth, Extra Fresh, 3.4 ounces Twinpack",https://www.walmart.com/ip/Sensodyne-Complete-Protection-Sensitivity-Toothpaste-for-Sensitive-Teeth-Extra-Fresh-3-4-ounces-Twinpack/569749765
23,532794165,"Crest 3D White Whitening Therapy Charcoal Deep Clean Fluoride Toothpaste, Invigorating Mint, 4.1 ounce",https://www.walmart.com/ip/Crest-3D-White-Whitening-Therapy-Charcoal-Deep-Clean-Fluoride-Toothpaste-Invigorating-Mint-4-1-ounce/532794165
24,106328128,"Colgate Max Fresh Toothpaste with Mini Breath Strips, Clean Mint - 6 Ounce (3 Pack)",https://www.walmart.com/ip/Colgate-Max-Fresh-Toothpaste-with-Mini-Breath-Strips-Clean-Mint-6-Ounce-3-Pack/106328128
25,23814511,"Sensodyne Repair & Protect Extra Fresh Fluoride Toothpaste for Sensitive Teeth, 3.4 ounces",https://www.walmart.com/ip/Sensodyne-Repair-Protect-Extra-Fresh-Fluoride-Toothpaste-for-Sensitive-Teeth-3-4-ounces/23814511
26,38773089,"Sensodyne Pronamel Fresh Wave Fluoride Toothpaste to Strengthen and Protect Enamel, 8 ounces Twinpack (4 oz)",https://www.walmart.com/ip/Sensodyne-Pronamel-Fresh-Wave-Fluoride-Toothpaste-to-Strengthen-and-Protect-Enamel-8-ounces-Twinpack-4-oz/38773089
27,398181015,"Sensodyne Pronamel Intensive Enamel Repair Extra Fresh Toothpaste for Enamel Strengthening, 3.4 ounces",https://www.walmart.com/ip/Sensodyne-Pronamel-Intensive-Enamel-Repair-Extra-Fresh-Toothpaste-for-Enamel-Strengthening-3-4-ounces/398181015
28,10311616,"Crest Cavity Protection Regular Toothpaste, .85 oz",https://www.walmart.com/ip/Crest-Cavity-Protection-Regular-Toothpaste-85-oz/10311616
29,168822623,"Crest 3D White Luxe Glamorous White Whitening Toothpaste, Vibrant Mint, 4.8 oz",https://www.walmart.com/ip/Crest-3D-White-Luxe-Glamorous-White-Whitening-Toothpaste-Vibrant-Mint-4-8-oz/168822623
30,38772378,"Aquafresh Cavity Protection Fluoride Toothpaste, Cool Mint, 5.6 ounce Twinpack (two 5.6oz tubes)",https://www.walmart.com/ip/Aquafresh-Cavity-Protection-Fluoride-Toothpaste-Cool-Mint-5-6-ounce-Twinpack-two-5-6oz-tubes/38772378
31,661431001,"Colgate Total Toothpaste, Fresh Mint Stripe Gel, 4.8 oz. 2-pack",https://www.walmart.com/ip/Colgate-Total-Toothpaste-Fresh-Mint-Stripe-Gel-4-8-oz-2-pack/661431001
32,233708144,"Crest 3D White, Whitening Toothpaste Radiant Mint, 4.1 oz, Pack of 2",https://www.walmart.com/ip/Crest-3D-White-Whitening-Toothpaste-Radiant-Mint-4-1-oz-Pack-of-2/233708144
33,799122530,"Hello Fluoride Free Antiplaque and Whitening Toothpaste, Vegan & SLS Free, Natural Peppermint with Tea Tree Oil & Coconut Oil, 4.7oz",https://www.walmart.com/ip/Hello-Fluoride-Free-Antiplaque-and-Whitening-Toothpaste-Vegan-SLS-Free-Natural-Peppermint-with-Tea-Tree-Oil-Coconut-Oil-4-7oz/799122530
34,563290858,"Colgate Total Whitening Toothpaste, Advanced Whitening, 5.1 oz. 2-pack- Paste",https://www.walmart.com/ip/Colgate-Total-Whitening-Toothpaste-Advanced-Whitening-5-1-oz-2-pack-Paste/563290858
35,510336166,"Crest Gum Detoxify Deep Clean Toothpaste, 4.1 oz",https://www.walmart.com/ip/Crest-Gum-Detoxify-Deep-Clean-Toothpaste-4-1-oz/510336166
36,38587645,"Sensodyne Complete Protection Fluoride Toothpaste for Sensitive Teeth, 3.4 ounces",https://www.walmart.com/ip/Sensodyne-Complete-Protection-Fluoride-Toothpaste-for-Sensitive-Teeth-3-4-ounces/38587645
37,987715570,"Crest + Scope Complete Whitening Toothpaste, Minty Fresh, 5.4 oz",https://www.walmart.com/ip/Crest-Scope-Complete-Whitening-Toothpaste-Minty-Fresh-5-4-oz/987715570
38,908197301,"Crest Pro-Health Smooth Formula Toothpaste, Clean Mint Paste, 4.6 oz, Pack of 3",https://www.walmart.com/ip/Crest-Pro-Health-Smooth-Formula-Toothpaste-Clean-Mint-Paste-4-6-oz-Pack-of-3/908197301
39,170279342,"Crest Pro-Health Smooth Formula Toothpaste, Clean Mint Paste, 4.6 oz, Pack of 2",https://www.walmart.com/ip/Crest-Pro-Health-Smooth-Formula-Toothpaste-Clean-Mint-Paste-4-6-oz-Pack-of-2/170279342
40,670751520,"(2 pack) Crest Complete Whitening plus Scope Multi-Benefit Fluoride Liquid Gel Toothpaste, Minty Fresh, 4.6 Ounce",https://www.walmart.com/ip/2-pack-Crest-Complete-Whitening-plus-Scope-Multi-Benefit-Fluoride-Liquid-Gel-Toothpaste-Minty-Fresh-4-6-Ounce/670751520
41,653888327,"Rembrandt Intense Stain Whitening Toothpaste, Mint Flavor, 3.52-Ounce (2 Pack)",https://www.walmart.com/ip/Rembrandt-Intense-Stain-Whitening-Toothpaste-Mint-Flavor-3-52-Ounce-2-Pack/653888327
42,26812577,"Biotene Fresh Mint Original Fluoride Toothpaste, 4.3 ounce",https://www.walmart.com/ip/Biotene-Fresh-Mint-Original-Fluoride-Toothpaste-4-3-ounce/26812577?wpa_bd=1578348254734&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=34ea83d4d5b40be35ca7adb8ab4acd42&wpa_aux_info=&wpa_tag=&wpa_pos=3&wpa_plmt=1145x1145_T-C-IG_TI_1-2_HL-INGRID-GRID-NY&wpa_aduid=2271a5e9-d18b-4789-a16a-c514458a5955&wpa_pg=browse&wpa_pg_id=1005862_1007221_1023020&wpa_st=Toothpaste&wpa_tax=1005862_1007221_1023020&wpa_bucket=__bkt__
43,589798006,"Colgate Total Toothpaste, Deep Clean, 5.1 oz. 2-pack - Paste",https://www.walmart.com/ip/Colgate-Total-Toothpaste-Deep-Clean-5-1-oz-2-pack-Paste/589798006
44,207215864,"(Pack of 3) Crest Kid's Cavity Protection Toothpaste (children and toddlers 2+), Sparkle Fun Flavor, 4.6 ounces",https://www.walmart.com/ip/Pack-of-3-Crest-Kid-s-Cavity-Protection-Toothpaste-children-and-toddlers-2-Sparkle-Fun-Flavor-4-6-ounces/207215864
45,289197571,"Sensodyne Repair & Protect Whitening Sensitivity Toothpaste for Sensitive Teeth, 3.4 ounces Twinpack",https://www.walmart.com/ip/Sensodyne-Repair-Protect-Whitening-Sensitivity-Toothpaste-for-Sensitive-Teeth-3-4-ounces-Twinpack/289197571
46,337777889,"Colgate Optic White Whitening Toothpaste, Sparkling White - 5 ounce (3 pack)",https://www.walmart.com/ip/Colgate-Optic-White-Whitening-Toothpaste-Sparkling-White-5-ounce-3-pack/337777889
