,active_ingredients,inactive_ingredients,product,price,active_smiles,inactive_smiles,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,RingCount,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_N,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_aldehyde,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_hdrzone,fr_phos_acid,fr_pyridine,fr_sulfonamd,fr_unbrch_alkane,fr_NH1,fr_Ndealkylation1,fr_quatN,fr_alkyl_halide,NumAliphaticCarbocycles,fr_Ar_NH,fr_Nhpyrrole,fr_epoxide,NumSaturatedCarbocycles,fr_Ar_OH,fr_ketone,fr_ketone_Topliss,fr_nitrile,fr_phenol,fr_phenol_noOrthoHbond,fr_urea,fr_Ndealkylation2,fr_methoxy,fr_lactone,fr_sulfide,fr_NH2,fr_para_hydroxylation,fr_Imine,fr_guanido,fr_phos_ester,fr_ArN,fr_furan,fr_hdrzine,fr_nitro,fr_priamide,fr_imidazole,fr_N_O,fr_imide,fr_sulfone,fr_SH,fr_thiocyan,fr_nitroso,product_id,pack,oz
290,"['calcium carbonate','sorbitol','water','glycerin','silica','sodium lauroyl glutamate','xylitol','gum xanthan','cyamopsis tetragonoloba gum','vitis vinifera seed oil','glycyrrhiza glabra root','foeniculum vulgare','eugenia caryophyllus bud oil','azadirachta lndica leaf','azadirachta lndica bark','mentha piperita oil','potassium sorbate','mentha viridis oil','ascorbic acid made with certified','supercritical extracts']",[],Organix South Theraneem Organix Neem Toothpaste Neem Therape with Mint,10.92,"['C(=O)([O-])[O-].[Ca+2]','C(C(C(C(C(CO)O)O)O)O)O','O','C(C(CO)O)O','O=[Si]=O','CCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)[O-].[Na+]','C(C(C(C(CO)O)O)O)O','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','cyamopsis tetragonoloba gum','vitis vinifera seed oil','glycyrrhiza glabra root','CCCCCCCCCCCC=CCCCCC(=O)O.CC=CC1=CC=C(C=C1)OC.CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O','eugenia caryophyllus bud oil','azadirachta lndica leaf','azadirachta lndica bark','CC1CCC2(CC1)C(CO2)C.CC1CCC(C(C1)O)C(C)C.CC1CCC(C(C1)OC(=O)C)C(C)C.CC1CCC(C(=O)C1)C(C)C.CC1CCC2=C(C1)OC=C2C.CC1CCC(=C(C)C)C(=O)C1','CC=CC=CC(=O)[O-].[K+]','mentha viridis oil','ascorbic acid made with certified','supercritical extracts']",[],267,34,69,8,14,2,1,3,63,32,75,0,77,7,12,1532,17,6,26,26,0,0,6,8,12,8,0,0,8,1,0,2,0,2,3,2,16,0,0,0,0,0,17,1,0,0,0,6,0,0,0,5,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,171739292,1,4.23
335,"['coconut activated charcoal','calcium bentonite clay','coconut oil','essential oil']",[],All Natural Activated Charcoal Toothpaste and Teeth Whitening with Coconut Charcoal and Essential Oil,9.99,"['coconut activated charcoal','calcium bentonite clay','coconut oil','essential oil']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429877253,1,5
344,"['glycerin','hydrated silica','sorbitol','aloe barbadensis leaf juice','water','sodium lauroyl sarcosinate','xylitol','quillaja saponaria root extract','camellia sinensis leaf extract','punica granatum fruit extract','vaccinium macrocarpon fruit extract','vitis vinifera seed extract','zingiber officinale root extract','cellulose gum','calcium glycerophosphate','bisabolol','menthol','benzoic acid']",[],"Nature's Gate Natural Toothpaste without Fluoride, Wintergreen Gel (Pack of 6)",5.332,"['C(C(CO)O)O','O.[O-2].[O-2].[Si+4]','C(C(C(C(C(CO)O)O)O)O)O','aloe barbadensis leaf juice','O','CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]','C(C(C(C(CO)O)O)O)O','quillaja saponaria root extract','camellia sinensis leaf extract','punica granatum fruit extract','vaccinium macrocarpon fruit extract','vitis vinifera seed extract','CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC.CCCCCC(C)CC(=O)CCC1=CC(=C(C=C1)O)OC','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','C(C(COP(=O)([O-])[O-])O)O.[Ca+2]','CC1=CCC(CC1)C(C)(CCC=C(C)C)O','CC1CCC(C(C1)O)C(C)C','C1=CC=C(C=C1)C(=O)O']",[],158,31,46,0,2,3,0,3,39,27,51,1,57,0,1,909,5,2,23,22,1,0,3,3,7,5,1,1,6,1,0,2,0,3,0,0,2,0,0,1,0,0,10,0,1,0,0,2,0,0,0,1,2,2,1,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,353927148,6,5
346,"['sodium fluoride','sorbitol','water','hydrated silica','peg','sodium lauryl sulfate','sd alcohol 38','cellulose gum','sodium saccharin','red 33','red 40']",[],Close Up Anticavity Fluoride Toothpaste Freshening,2.39,"['[F-].[Na+]','C(C(C(C(C(CO)O)O)O)O)O','O','O.[O-2].[O-2].[Si+4]','C(CO)O','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','sd alcohol 38','[B]','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','red 33','CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+]']",[],104,19,38,1,1,4,0,4,32,15,51,4,28,0,0,564,5,1,13,13,0,0,1,1,3,2,3,1,0,1,0,1,1,4,2,0,1,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42861621,1,6
353,"['water','hydrated silica','glycerin','sorbitol','sodium bicarbonate','sodium carbonate','sodium coco','sulfate','carrageenan','tea tree leaf oil','peppermint oil','spearmint oil','papain','potassium sorbate']",[],Now XyliWhite Refreshmint,6.71,"['O','O.[O-2].[O-2].[Si+4]','C(C(CO)O)O','C(C(C(C(C(CO)O)O)O)O)O','C(=O)(O)[O-].[Na+]','C(=O)([O-])[O-].[Na+].[Na+]','sodium coco','[O-]S(=O)(=O)[O-]','CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)C#N)O.CC(=O)[O-].CC(=O)[O-].[Zn+2]','tea tree leaf oil','CC1CCC2(CC1)C(CO2)C.CC1CCC(C(C1)O)C(C)C.CC1CCC(C(C1)OC(=O)C)C(C)C.CC1CCC(C(=O)C1)C(C)C.CC1CCC2=C(C1)OC=C2C.CC1CCC(=C(C)C)C(=O)C1','CC1=CCC(CC1=O)C(=C)C','papain','CC=CC=CC(=O)[O-].[K+]']",[],164,18,44,1,9,1,2,3,37,14,52,0,19,1,7,912,12,3,10,10,0,1,3,7,11,10,2,0,8,2,1,1,0,1,1,1,2,1,0,0,1,0,0,2,0,0,0,8,0,0,0,6,1,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39454191,1,6.4
402,['stannous fluoride'],"[' glycerin', 'peg-8', 'hydrated silica', 'pentasodium triphosphate', 'flavor', 'sodium lauryl sulfate', 'titanium dioxide', 'polyacrylic acid', 'cocamidopropyl betaine', 'sodium saccharin']",Parodontax Complete Protection Teeth Whitening Toothpaste for Bleeding Gums,5.92,['F[Sn]F'],"['C(C(CO)O)O', 'peg-8', 'O.[O-2].[O-2].[Si+4]', '[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+]', 'flavor', 'CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]', 'O=[Ti]=O', 'C=CC(=O)O', 'CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]', 'C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]']",94,7,33,1,1,1,0,1,26,5,50,2,35,0,0,512,2,2,3,3,0,0,2,2,4,3,2,0,0,2,0,0,0,1,1,0,0,2,0,3,0,1,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577475053,1,3.4
403,"['sorbitol', 'hydrated silica ', 'cleans teeth', 'vegetable glycerin ', 'moisturizes', 'xylitol', 'purified water', 'charcoal powder ', 'polishes', 'cleans teeth/freshens breath', 'xanthan gum', 'titanium dioxide', 'cocamidopropyl betaine', 'sodium cocoyl glutamate', 'coconut oil ', 'moisturizes', 'potassium sorbate', 'stevia rebaudiana leaf extract']",[],"Hello Activated Charcoal Epic Whitening Fluoride Free Toothpaste, Fresh Mint + Coconut Oil, Vegan & SLS Free",4.82,"['C(C(C(C(C(CO)O)O)O)O)O', 'O.[O-2].[O-2].[Si+4]', 'cleans teeth', 'vegetable glycerin ', 'moisturizes', 'C(C(C(C(CO)O)O)O)O', 'O', 'charcoal powder ', 'polishes', 'cleans teeth/freshens breath', 'xanthan gum', 'O=[Ti]=O', 'CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]', 'C(CC(=O)[O-])C(C(=O)O)N.[Na+]', 'coconut oil ', 'moisturizes', 'CC=CC=CC(=O)[O-].[K+]', 'stevia rebaudiana leaf extract']",[],74,19,29,0,0,0,0,0,22,14,33,0,31,0,0,428,0,4,11,11,0,0,4,4,5,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566070127,1,4
413,"['sodium bicarbonate', 'water', 'sorbitol', 'glycerin', 'tetrasodium pyrophosphate', 'hydrated silica', 'sodium lauroyl sarcosinate', 'sodium lauryl sulfate', 'cellulose gum', 'xanthan gum', 'titanium dioxide', 'sodium fluoride', 'potassium nitrate']",[],"ARM & HAMMER Sensitive Teeth & Gums Toothpaste, Refreshing Mint- Fluoride Toothpaste",3.48,"['C(=O)(O)[O-].[Na+]', 'O', 'C(C(C(C(C(CO)O)O)O)O)O', 'C(C(CO)O)O', '[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]', 'O.[O-2].[O-2].[Si+4]', 'CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]', 'CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]', 'CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]', 'xanthan gum', 'O=[Ti]=O', '[F-].[Na+]', '[N+](=O)([O-])[O-].[K+]']",[],106,20,45,0,0,0,0,0,37,16,61,1,38,0,0,585,0,2,14,14,0,0,2,4,5,3,2,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555138528,1,4.5
421,"['sorbitol', 'hydrated silica ', 'cleans teeth', 'purified water', 'vegetable glycerin ', 'moisturizes', 'aloe vera gel ', 'moisturizes', 'xylitol', 'erythritol', 'xanthan gum', 'lauryl glucoside ', 'corn derived cleanser', 'calcium glycerophosphate', 'titanium dioxide', 'potassium sorbate', 'steavia rebaudiana leaf extract']",[],"Hello Kids Fluoride Free Natural Watermelon Flavor Toothpaste, Vegan & SLS Free",3.96,"['C(C(C(C(C(CO)O)O)O)O)O', 'O.[O-2].[O-2].[Si+4]', 'cleans teeth', 'O', 'vegetable glycerin ', 'moisturizes', 'aloe vera gel ', 'moisturizes', 'C(C(C(C(CO)O)O)O)O', 'C(C(C(CO)O)O)O', 'xanthan gum', 'CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O', 'corn derived cleanser', 'C(C(COP(=O)([O-])[O-])O)O.[Ca+2]', 'O=[Ti]=O', 'CC=CC=CC(=O)[O-].[K+]', 'steavia rebaudiana leaf extract']",[],82,25,35,1,1,0,0,0,31,21,40,0,31,1,1,484,1,1,21,21,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,554845890,1,4.2
440,['sodium monofluorophosphate '],"[' sorbitol', 'purified water', 'hydrated silica', 'glycerin', 'xylitol', 'calcium carbonate', 'xanthan gum', 'flavor', 'titanium dioxide', 'coconut oil', 'cocamidopropyl betaine', 'sodium cocoyl glutamate', 'stevia rebaudiana extract and tea tree oil']","Hello Naturally Healthy Whitening Fluoride Toothpaste, Tea Tree + Coconut Oil, Vegan & SLS Free",3.97,['[O-]P(=O)([O-])F.[Na+].[Na+]'],"['C(C(C(C(C(CO)O)O)O)O)O', 'O', 'O.[O-2].[O-2].[Si+4]', 'C(C(CO)O)O', 'C(C(C(C(CO)O)O)O)O', 'C(=O)([O-])[O-].[Ca+2]', 'xanthan gum', 'flavor', 'O=[Ti]=O', 'coconut oil', 'CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]', 'C(CC(=O)[O-])C(C(=O)O)N.[Na+]', 'stevia rebaudiana extract and tea tree oil']",83,22,36,0,0,0,0,0,29,17,44,0,31,0,0,478,0,3,14,14,0,0,3,5,5,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572026271,1,4.7
498,['sodium monofluorophosphate'],"[' sorbitol', 'purified water', 'hydrated silica', 'glycerin', 'xylitol', 'charcoal powder', 'xanthan gum', 'flavor', 'titanium dioxide', 'coconut oil', 'cocamidopropyl betaine', 'sodium cocoyl glutamate and stevia rebaudiana leaf extract']","Hello Antiplaque + Whitening Fluoride Free Toothpaste, Tea Tree + Coconut Oil, Vegan & SLS Free",4.82,['[O-]P(=O)([O-])F.[Na+].[Na+]'],"['C(C(C(C(C(CO)O)O)O)O)O', 'O', 'O.[O-2].[O-2].[Si+4]', 'C(C(CO)O)O', 'C(C(C(C(CO)O)O)O)O', 'charcoal powder', 'xanthan gum', 'flavor', 'O=[Ti]=O', 'coconut oil', 'CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]', 'sodium cocoyl glutamate and stevia rebaudiana leaf extract']",67,19,28,0,0,0,0,0,22,15,34,0,27,0,0,396,0,1,14,14,0,0,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572026273,1,4.7
